standardized_name
Tricohist Expectorant 100ml
Enterobasila Suspension 5ml 10s
Jointfix Tablets 60s
Fluconazole 150mg Tablets 10s
Kloxy Syrup 100ml
Twynsta 40mg/10mg Tablets 28s
Surekit HIV 1+2 Rapid Test Kit 1s
Skilax Drops 15ml
Mentho Plus Balm 9ml
Arbitel AM Tablets 28s
Levofloxacin 500mg Tablets 10s
Amlosun 10mg Tablets 30s
Atenolol 50mg Tablets 28s
Atacand 16mg Tablets 28s
Tynor Ankle Brace Splint XL
Tynor Ankle Brace Medium
Alcomet 500mg Tablets 30s
Aldomet 250mg Tablets 30s
Avastatin 10mg Tablets 28s
Atenolol 25mg Tablets 28s
Aprezo 30mg Tablets 28s
Lonet Atenolol 50mg Tablets 28s
Allugel Suspension 100ml
Advantec 16mg/12.5mg Tablets 28s
Aqueous Cream 500g
Aclosara SP Tablets 10s
Amax 5mg Tablets 30s
Allopurinol 300mg Tablets 30s
Aerius 0.5mg/ml Syrup 150ml
Action Analgesic Tablets 100s
Izz-Three Suspension 30ml
Apixaget 5mg Tablets 30s
Tanzol 400mg Tablets 1s
Apixa Q 5mg Tablets 30s
Aprovasc 300mg/10mg Tablets 28s
Azidawa 200mg/5ml Syrup 15ml
Spotclav 625mg Tablets 10s
Actifizz Effervescent tablets 20s
Alerfree Tablets 10s
ACP MR Tablets 10s
Aldomet 500mg Tablets 30s
Amoxicillin 250mg Tablets 100s
Asomex 2.5mg Tablets 30s
Apdrop DX Eye Drops 5ml
Anusol Ointment 25 g
Anusol Suppositories 12s
Angilock Plus 50mg/12.5mg Tablets 30s
Avastatin 40mg Tablets 30s
Alcohol Prep Pad 100s
Zyrtal MR Tablets 20s
Magnomint Tablets 30s
Aldactone 25mg Tablets 100s
Azathioprine 50mg Tablets 60s
Altacef 500mg Tablets 10s
Besdiz 16mg Tablets 30s
Betaserc 8mg Tablets 100s
Benylin Original Syrup 100ml
Bactigrass 10cm x 10cm Dressing 10s
Beechams Hot Lemon & Honey Sachets 10s
Benylin With Codeine Syrup 100ml
Budecort 200 mcg Inhaler 200 doses
Bisoprolol 2.5mg Tablets 28s
Atstat 20mg Tablets 30s
BD Insulin Syringes 0.5ml 30G 100s
BD Microfine Insulin Syringes 1ml 100s
Bipreterax 10mg/2.5mg Tablets 30s
Bipreterax 5mg/1.25mg Tablets 30s
Brozelin Expectorant Syrup 100ml
Cadistin Expectorant Syrup 100ml
Calpol Infant Suspension 60ml
Cabalin 25mg Tablets 30s
Cabergoline 0.5mg Tablets 4s
Cachnerve Tablets 30s
Calcigard 20mg Tablets 30s
Candid Powder 30 g
Candid V3 200mg Vaginal Pessaries 3s
Candid V1 500mg Vaginal Pessaries 1s
Candid V6 100mg Vaginal Pessaries 6s
Carbimazole 5mg Tablets 100s
Carbimazole 5mg Tablets 100s
Carca 3.125mg Tablets 30s
Carca 6.25mg Tablets 30s
Cardace 10mg Tablets 28s
Karvol Decongestant Capsules 10s
Sinarest Vapo Capsules 10s
Cerave Oil Control Moisturising Gel 236ml
Cerave Daily Moisturising Lotion 236ml
Activated Charcoal Tablets 100s
Balcon 10mg Tablets 100s
Bronchowin 400mg Tablets 30s
Cardace 5mg Tablets 28s
Cardinol 25mg Tablets 30s
Cardinol 50mg Tablets 30s
Carditan 50mg Tablets 28s
Carditan H 50mg/12.5mg Tablets 30s
Carvedi-Denk 25mg Tablets 30s
Caustic Pencil Blue 1s
Theofix 200mg Tablets 10s
Theofix 400mg Tablets 10s
Cefuronet 125mg/5ml Suspension 60ml
Cefuroxime DS 250mg/5ml Suspension 60ml
Cefuroxime 250mg Tablets 10s
Cerecare Plus Tablets 10s
Cetamol 500mg Tablets 100s
Piricet Syrup 60ml
Cilnitel 10mg/40mg Tablets 30s
Cilnitel CT 10/40/12.5mg Tablets 30s
Cilnitel CT 10/80/12.5mg Tablets 30s
Cilnitel CT 5mg/80mg Tablets 30s
Cipladon 500mg Tablets 16s
Cipralex 10mg Tablets 28s
Memcolin 500mg Tablets 10s
Clindamycin 300mg Tablets 10s
Clomid 50mg Tablets 10s
Clotrine B Cream 15 g
Clotrine 200mg Vaginal Pessaries  3s
Clozole B Cream 20 g
Coempaken 5mg/500mg Tablets 28s
Coldcap Tablets 96s
Co-Micardis 40/12.5mg Tablets 28s
Concerta 18mg ER Tablets 30s
Concor 10mg Tablets 30s
Contractubex Gel 20 g
Contempo Wet N Wild Condoms 3s
Contempo Bare Back Condoms 3s
Cobild Tablets 20s
Cosamide 100mg Tablets 10s
Cosgrel 75mg Tablets 28s
Coveram 10mg/5mg Tablets 30s
Coveram 10mg/10mg Tablets 30s
Coveram 5mg/10mg Tablets 30s
Coveram 5mg/5mg Tablets 30s
Coversyl 10mg Tablets 30s
Coversyl 5mg Tablets 30s
Cox B 100mg Tablets 30s
Cox B 200mg Tablets 50s
Cozepam Tablets 30s
Crepe Bandage 2 Inch 1s
Crestor 10mg Tablets 28s
Crestor 5mg Tablets 28s
Cypon Syrup 100ml
Daflon 1000mg Tablets 30s
Dapaflo 10mg Tablets 30s
Dapaflo 5mg Tablets 30s
Dapaflo M 5mg/500mg Tablets 30s
Dapaflo M 5mg/1000mg Tablets 30s
Dapamet XR 5mg/500mg Tablets 30s
Dapapride 10mg Tablets 60s
Dapefy SM 10/100/1000mg Tablets 30s
Deep Heat Rub 35 g
Deprex 10mg Tablets 100s
Destrex Oral Solution 60ml
Dexamethasone 4mg Tablets 100s
Diamicron MR 30mg Tablets 30s
Diamicron MR 60mg Tablets 30s
Diclosara MR 325/50/250mg Tablets 10s
Diltigesic gel 30 g
Diuride 20mg Tablets 20s
Doloact MR Tablets 100s
Zylexx SR 150mg Tablets 20s
Zulu 100mg/500mg Tablets 10s
Zosert 50mg Tablets 30s
Zithromax 200mg/5ml Suspension 30ml
Zinnat 250mg/5ml Suspension 50ml
Zincat OD Syrup 60ml
Zincos 20mg Tablets 100s
Zinc Oxide Plaster 3 Inch 1s
Zestril 20mg Tablets 28s
Zerodol 100mg Tablets 30s
Zentel 400mg Tablets 1s
Zefcolin Syrup 100ml
Zecuf Lozenges Orange 20s
Zecuf Lozenges Raspberry 20s
Zecuf Lozenges Strawberry 20s
Yescort 30mg Tablets 30s
Yescort 18mg Tablets 30s
Yamoo Drops 15ml
Xyzal 0.5mg/ml Syrup 75ml
Wound Dressing Bandage Medium Size 8
Wound Dressing Bandage Small Size 7
Wound Dressing Bandage Large
Vonapro10mg Tablets14s
Voltaren Emulgel 50 g
Vivafen 400mg Tablets 100s
Vitamin C + Zinc Effervescent tablets 20s
Vitamadol 50mg Capsules 30s
Vitacap Capsules 50s
Vildaril M 50mg/100mg Tablets 30s
Vidol 12.5mg Tablets 28s
Ventlab XL 75mg Tablets 30s
VDM Kit tablets 4s
Varinil 5mg Tablets 28s
Varinil 10mg Tablets 112s
Urisol Sachets 10s
Uperio 50mg Tablets 28s
Uperio 100mg Tablets 28s
Upacof Dry Syrup 100ml
Univir Cream 10 g
Galvus Met 50mg/500mg Tablets 30s
Unigan 500mg/10mg Tablets 100s
Unicontin 400mg Tablets 100s
Unibrom 0.09% Eye Drops 5ml
Ulgicid Cherry Suspension 200ml
Ulgicid Pineapple Suspension 200ml
Twynsta 80mg/10mg Tablets 28s
Twynsta 80mg/5mg Tablets 28s
Tritace 5mg Tablets 28s
Triplixam 10/2.5/10mg Tablets 30s
Triplixam 10/2.5/5mg Tablets 30s
Triplixam 5/1.25/10mg Tablets 30s
Triplixam 5/1.25/5mg Tablets 30s
Triokit Tablets 4s
Trimetabol Syrup 150ml
Tricohist Expectorant 100ml
Trevia 50mg Tablets 35s
Tres Orix Forte Syrup 250ml
Trazodone 50mg Tablets 84s
Triangular Bandage 1s
Minoxidil 5% Solution 60ml
Exforge HCT 10mg/160mg Tablets 28s
Fexet 180mg Tablets 20s
Fexet 120mg Tablets 20s
Magnesium Glycinate 22% Capsules 60s
Tacroz Forte 0.1% Ointment 10 g
Zecuf Herbal Cough Lozenges 20s
Ulgicid Mint Suspension 200ml
Montebasto 10/10mg Tablets 10s
Tofen 1mg Tablets 30s
Omega-H3 Capsules 30s
Durex Play Cherry Lubricant 50ml
Atstat 20mg Tablets 30s
Lonart 20mg/120mg Tablets 24s
Metox 2.5mg Tablets 30s
Aldomet 250mg Tablets 30s
Tranexamic Acid 500mg Tablets 20s
Durex Performa Condoms 3s
Predsol Syrup 50ml
Apixa Q 2.5mg Tablets 30s
